region,max_distance_miles,mcfarthest_lat,mcfarthest_lon,nearest_lat,nearest_lon
US,310.39809781304433,46.93571171190351,-112.97548395312582,42.568489899999996,-114.45982020000001
Alabama,99.72280025385975,32.09167024601944,-88.4486455568313,41.671741299999994,-86.31467740000001
Arizona,169.4080855632175,34.301203328585935,-109.10417552293706,42.2749154,-71.752676
Arkansas,104.06834655565335,33.00829492940149,-92.09122079890595,27.96406,-82.4358295
California,114.24801897197804,41.995139,-120.00105799999997,37.088033700000004,-113.58307679999997
Colorado,195.70112162998257,40.109159362662325,-108.03549888215373,42.4551151,-87.82480129999999
Connecticut,37.24734863690862,42.049638,-73.48731399999998,27.96406,-82.4358295
Delaware,73.71375545774569,38.460128,-75.693521,42.2749154,-71.752676
District of Columbia,12.836963403174735,38.95446839022312,-77.09360772256677,42.6075239,-89.6510149
Florida,114.35405362365616,24.547716,-82.15865300000002,37.665109099999995,-97.28595190000001
Georgia,99.41939637705941,31.17665340440986,-84.15296289993061,38.892737100000005,-104.75206779999999
Idaho,214.85364767678732,46.41028188753247,-114.38796225416345,36.11501679999999,-115.20615690000001
Illinois,71.28492319075855,37.77672236569693,-88.60557078772223,30.413711100000008,-86.6540099
Indiana,61.94971234042102,38.53582261449107,-86.67967542912152,41.001208399999996,-111.9058517
Iowa,108.72931295255786,43.395099588180685,-92.77132789164274,33.1999452,-117.24646409999997
Kansas,150.4515512310181,38.51072440223351,-99.2970341510997,32.636459,-117.021159
Kentucky,81.82648968255468,36.84092728457741,-88.48367946565526,44.97850699999999,-123.0272509
Louisiana,111.49398355812889,32.92792720948922,-92.11546017104659,34.8851667,-92.1098497
Maine,204.6220987293856,47.35503500000001,-68.234604,42.6075239,-89.6510149
Maryland,99.39442172488705,38.02170500331113,-75.30412196278822,32.7763538,-117.1546503
Massachusetts,87.14557797970694,41.252466,-69.965725,42.6075239,-89.6510149
Michigan,112.77399361592883,46.251910511061865,-86.86861111872079,44.59856609999999,-75.14757979999999
Minnesota,213.16072054828481,48.63210671155513,-93.91719427975063,34.8851667,-92.1098497
Mississippi,100.81994202785532,32.10428513616808,-88.46912256961227,32.79310219999999,-117.2540289
Missouri,99.31595187679281,39.97289188100409,-92.94696912246161,32.8799364,-117.2357406
Montana,310.39809781304433,46.93571171190351,-112.97548395312582,42.2749154,-71.752676
Nebraska,169.27207634329142,42.99960018084456,-102.42806768589416,32.6934457,-117.13418010000001
Nevada,174.53469872106442,41.994826309525706,-118.5412774858613,33.9932307,-117.05630399999995
New Hampshire,78.38324591722565,43.681017171641116,-72.22023073691638,44.59856609999999,-75.14757979999999
New Jersey,39.52137036454802,38.92865209360743,-74.93073289206974,43.5863886,-116.5722737
New Mexico,166.64492827494274,34.20733228564177,-109.0466790106398,36.11501679999999,-115.20615690000001
New York,118.50600903712692,45.010839999999995,-73.34312399999999,38.892737100000005,-104.75206779999999
North Carolina,84.56717863287246,35.215954999999994,-75.527676,38.74332710000001,-121.2738956
North Dakota,161.02433712067278,48.99927708088884,-99.62633650122234,37.9023271,-122.30408849999998
Ohio,58.08731716951456,40.84131608041776,-84.11864957157951,32.8799364,-117.2357406
Oklahoma,137.09828595287252,36.93930518985679,-103.00223196929274,34.8851667,-92.1098497
Oregon,189.62863156558168,43.44147796562618,-119.31474910126981,36.11501679999999,-115.20615690000001
Pennsylvania,76.43585235250991,41.898327796078775,-76.08035578733723,29.891191399999997,-95.6405373
Rhode Island,30.10524094281759,41.463974,-71.170131,42.2749154,-71.752676
South Carolina,47.143373377931646,33.099046945308,-79.31236226212606,33.9932307,-117.05630399999995
South Dakota,216.13115730629002,43.78083132879175,-102.43164803254966,32.844208,-116.87976299999998
Tennessee,65.0509983103634,36.03830810919356,-85.31156947971922,45.01500389999999,-93.01918219999999
Texas,169.2909580293661,28.972099000000004,-103.163865,46.18415139999999,-119.17363619999999
Utah,165.22283530604125,37.246642734632886,-110.29277376802514,33.192972,-117.377849
Vermont,123.09108023390415,45.015208664941575,-72.92740418020799,36.11501679999999,-115.20615690000001
Virginia,100.47680684246716,38.00468175643762,-75.26031165523463,45.5529836,-94.19877690000001
Washington,169.78156708723114,49.00025848743935,-119.66165124765081,42.9169784,-87.9301163
West Virginia,63.31982573600397,38.159608934263495,-80.44074892956594,42.6075239,-89.6510149
Wisconsin,123.7096910198443,45.74007167281645,-91.19568017553101,32.7763538,-117.1546503
Wyoming,198.5839357599786,42.95245851504113,-109.1805588325534,36.11501679999999,-115.20615690000001
